#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335273914.85,1335273924.79,9.93497109413,7,1.87128710747,9.93497109413
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335274336.8,1335274336.84,0.0450830459595,0,0.0450818538666,0.0450830459595
dang@cogentee.coventry.ac.uk,1335274481.36,1335274483.23,1.87707495689,0,1.87707304955,1.87707495689
dang@cogentee.coventry.ac.uk,1335274611.58,1335274625.95,14.362087965,0,14.3620860577,14.362087965
dang@cogentee.coventry.ac.uk,1335274763.53,1335274765.28,1.7522790432,0,1.7522778511,1.7522790432
dang@cogentee.coventry.ac.uk,1335274901.15,1335274903.98,2.82506513596,0,2.82506418228,2.82506513596
dang@cogentee.coventry.ac.uk,1335275035.47,1335275038.56,3.09104609489,0,3.0910449028,3.09104609489
dang@cogentee.coventry.ac.uk,1335275178.92,1335275181.24,2.31875085831,0,2.31874895096,2.31875085831
dang@cogentee.coventry.ac.uk,1335275296.78,1335275299.38,2.60341787338,0,2.60341691971,2.60341787338
dang@cogentee.coventry.ac.uk,1335275416.71,1335275417.91,1.19584703445,0,1.19584703445,1.19584703445
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335275890.74,1335275891.52,0.775947809219,0,0.775946855545,0.775947809219
dang@cogentee.coventry.ac.uk,1335277206.56,1335277208.23,1.66628980637,0,1.66628885269,1.66628980637
dang@cogentee.coventry.ac.uk,1335278642.38,1335278647.27,4.88943099976,0,4.88943004608,4.88943099976
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335349348.92,1335349348.97,0.0424890518188,0,0.0424880981445,0.0424890518188
dang@cogentee.coventry.ac.uk,1335350714.71,1335350717.91,3.20907092094,0,3.20906996727,3.20907092094
dang@cogentee.coventry.ac.uk,1335352177.35,1335352177.95,0.599328041077,0,0.599326848984,0.599328041077
dang@cogentee.coventry.ac.uk,1335353802.52,1335353805.92,3.40419912338,0,3.40419816971,3.40419912338
dang@cogentee.coventry.ac.uk,1335355379.56,1335355383.98,4.42126297951,0,4.42126107216,4.42126297951
dang@cogentee.coventry.ac.uk,1335357225.52,1335357230.98,5.4551179409,0,5.45511698723,5.4551179409
dang@cogentee.coventry.ac.uk,1335359491.52,1335359496.78,5.26227784157,0,5.26227593422,5.26227784157
dang@cogentee.coventry.ac.uk,1335361410.53,1335361421.5,10.9746530056,0,10.9746518135,10.9746530056
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335362044.24,1335362044.29,0.0440990924835,0,0.0440981388092,0.0440990924835
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335362227.6,1335362227.64,0.0436470508575,0,0.0436460971832,0.0436470508575
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@cogentee.coventry.ac.uk,1335362260.48,1335362260.54,0.058660030365,0,0.0586590766907,0.058660030365
dang@cogentee.coventry.ac.uk,1335363993.88,1335363998.01,4.13078188896,0,4.13078093529,4.13078188896
dang@cogentee.coventry.ac.uk,1335365463.35,1335365483.93,20.5787029266,0,20.578701973,20.5787029266
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
#URL,Start,End,Total,Num Nodes,Check,Sync
