#URL,Start,End,Total,Tunnel,Remote,Node,Reading
dang@cogentee.coventry.ac.uk,1335273908.72,1335274059.69,150.964393139,0.645326137543,6.12779808044,16.1854360104,150.563860178
dang@cogentee.coventry.ac.uk,1335274330.35,1335274479.7,149.350146055,0.675255060196,6.44863605499,6.49407505989,148.849831104
dang@cogentee.coventry.ac.uk,1335274480.7,1335274609.93,129.223489046,0.653305053711,0.654042005539,2.53145885468,128.823143959
dang@cogentee.coventry.ac.uk,1335274610.93,1335274755.8,144.869922876,0.655017852783,0.655794858932,15.0182299614,144.369630814
dang@cogentee.coventry.ac.uk,1335274756.8,1335274899.49,142.684633017,6.72867894173,6.72942590714,8.48205184937,142.284078836
dang@cogentee.coventry.ac.uk,1335274900.49,1335275033.81,133.317315102,0.663892030716,0.66468501091,3.49010300636,132.817037106
dang@cogentee.coventry.ac.uk,1335275034.81,1335275177.26,142.447970152,0.659605026245,0.660346031189,3.75174808502,142.147748947
dang@cogentee.coventry.ac.uk,1335275178.26,1335275295.11,116.850810051,0.657782077789,0.658548116684,2.97764801979,116.450468063
dang@cogentee.coventry.ac.uk,1335275296.11,1335275415.04,118.924267054,0.665159225464,0.665909051895,3.26967906952,118.623764038
dang@cogentee.coventry.ac.uk,1335275416.04,1335275590.45,174.410526037,0.668846130371,0.670016050339,1.8661801815,173.91023612
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
dang@cogentee.coventry.ac.uk,1335275886.82,1335277204.86,1318.04668212,0.678932189941,3.92229318619,4.69860315323,1317.84675598
dang@cogentee.coventry.ac.uk,1335349324.02,1335350712.95,1388.93014598,8.46380996704,24.9031980038,24.9460330009,1388.42987204
dang@cogentee.coventry.ac.uk,1335350713.95,1335352169.85,1455.89752293,0.750940799713,0.751667976379,3.96099185944,1455.49724793
dang@cogentee.coventry.ac.uk,1335352170.85,1335353797.56,1626.71038318,6.49716496468,6.49794006348,7.09760499001,1626.51045799
dang@cogentee.coventry.ac.uk,1335353798.57,1335355375.79,1577.2263329,3.94856095314,3.94933485985,7.35387587547,1576.82605696
dang@cogentee.coventry.ac.uk,1335355376.8,1335357220.68,1843.889184,2.76478385925,2.76556181908,7.18716287613,1843.589252
dang@cogentee.coventry.ac.uk,1335357221.69,1335359484.49,2262.80223608,3.83495306969,3.83570504189,9.29116296768,2262.70222807
dang@cogentee.coventry.ac.uk,1335362251.65,1335363988.24,1736.58615208,4.73578000069,8.82633399963,8.88534498215,1736.48637819
dang@cogentee.coventry.ac.uk,1335363989.24,1335365457.96,1468.72506309,4.6365571022,4.63714909554,8.76835608482,1468.22471905
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
