#URL,Start,End,Total,Fetch URL,Make Qry,Add Readings,Commit,Sync State
dang@cogentee.coventry.ac.uk,1335273924.91,1335273965.86,40.9526410103,0.00159001350403,0.00497722625732,8.51951313019,40.4861061573,40.9526410103
dang@cogentee.coventry.ac.uk,1335273965.86,1335273992.62,26.754034996,0.00147891044617,0.00474905967712,0.971983909607,26.463258028,26.754034996
dang@cogentee.coventry.ac.uk,1335273992.62,1335274025.69,33.0700922012,0.00114107131958,0.00437712669373,0.980907201767,32.712387085,33.0700922012
dang@cogentee.coventry.ac.uk,1335274025.69,1335274059.29,33.6001970768,0.0014910697937,0.00475907325745,2.87875199318,33.311496973,33.6001970768
#URL,Start,End,Total,Fetch URL,Make Qry,Add Readings,Commit,Sync State
dang@cogentee.coventry.ac.uk,1335274336.84,1335274371.08,34.2355101109,0.00139904022217,0.00524497032166,1.81682801247,33.8552751541,34.2355101109
dang@cogentee.coventry.ac.uk,1335274371.08,1335274417.25,46.1737949848,0.00121688842773,0.00366997718811,17.9227819443,45.8731939793,46.1737949848
dang@cogentee.coventry.ac.uk,1335274417.25,1335274443.02,25.7612559795,0.00148105621338,0.00473093986511,0.967691898346,24.5542938709,25.7612559795
dang@cogentee.coventry.ac.uk,1335274443.02,1335274479.2,36.1837801933,0.00151920318604,0.00473618507385,1.02254009247,35.880284071,36.1837801933
dang@cogentee.coventry.ac.uk,1335274483.24,1335274525.98,42.7492330074,0.00124096870422,0.00447607040405,1.9794690609,42.3681519032,42.7492330074
dang@cogentee.coventry.ac.uk,1335274525.98,1335274556.67,30.6836590767,0.00150895118713,0.00473999977112,1.01533198357,30.3925490379,30.6836590767
dang@cogentee.coventry.ac.uk,1335274556.67,1335274583.57,26.9061250687,0.00151014328003,0.00473713874817,0.950793027878,25.7721190453,26.9061250687
dang@cogentee.coventry.ac.uk,1335274583.58,1335274609.53,25.9511709213,0.00147604942322,0.00473093986511,1.277135849,25.6539740562,25.9511709213
dang@cogentee.coventry.ac.uk,1335274625.95,1335274651.58,25.6340558529,0.00124502182007,0.0045018196106,1.66837596893,25.3427548409,25.6340558529
dang@cogentee.coventry.ac.uk,1335274651.58,1335274680.31,28.7327849865,0.00154614448547,0.00479316711426,0.898573160172,28.3800799847,28.7327849865
dang@cogentee.coventry.ac.uk,1335274680.31,1335274707.86,27.5468978882,0.00149488449097,0.00478005409241,0.988859891891,26.9869101048,27.5468978882
dang@cogentee.coventry.ac.uk,1335274707.86,1335274755.3,47.4361600876,0.00150108337402,0.00474095344543,0.899960041046,47.0789630413,47.4361600876
dang@cogentee.coventry.ac.uk,1335274765.28,1335274791.87,26.5843100548,0.00125193595886,0.00448989868164,1.20843887329,26.2713110447,26.5843100548
dang@cogentee.coventry.ac.uk,1335274791.87,1335274822.05,30.1820271015,0.00151705741882,0.0047459602356,1.03481197357,29.7924921513,30.1820271015
dang@cogentee.coventry.ac.uk,1335274822.05,1335274872.29,50.2361769676,0.00149202346802,0.00475192070007,1.72133898735,49.9330248833,50.2361769676
dang@cogentee.coventry.ac.uk,1335274872.29,1335274899.09,26.7980051041,0.00149512290955,0.00475215911865,0.959339141846,26.4263989925,26.7980051041
dang@cogentee.coventry.ac.uk,1335274903.98,1335274935.66,31.6769387722,0.00136685371399,0.00462079048157,1.06854295731,31.3703708649,31.6769387722
dang@cogentee.coventry.ac.uk,1335274935.66,1335274965.28,29.6281588078,0.00150299072266,0.00473403930664,1.66769194603,29.2466669083,29.6281588078
dang@cogentee.coventry.ac.uk,1335274965.29,1335275005.81,40.526279211,0.00151419639587,0.00476217269897,1.04035615921,40.2282152176,40.526279211
dang@cogentee.coventry.ac.uk,1335275005.81,1335275033.31,27.4939250946,0.00150012969971,0.00476217269897,0.955327987671,27.0909030437,27.4939250946
dang@cogentee.coventry.ac.uk,1335275038.56,1335275072.15,33.5905849934,0.00131821632385,0.0045440196991,1.95178103447,33.2607681751,33.5905849934
dang@cogentee.coventry.ac.uk,1335275072.15,1335275121.01,48.853926897,0.0014820098877,0.00474405288696,1.2202899456,48.4684360027,48.853926897
dang@cogentee.coventry.ac.uk,1335275121.01,1335275149.29,28.2788879871,0.00148391723633,0.00474190711975,0.942129850388,27.9797959328,28.2788879871
dang@cogentee.coventry.ac.uk,1335275149.29,1335275176.96,27.6710169315,0.00150895118713,0.00477194786072,0.970283985138,27.3044168949,27.6710169315
dang@cogentee.coventry.ac.uk,1335275181.24,1335275208.79,27.5569951534,0.00128197669983,0.00452899932861,1.07593917847,27.2503550053,27.5569951534
dang@cogentee.coventry.ac.uk,1335275208.79,1335275243.59,34.7997820377,0.00149393081665,0.00478506088257,0.950819015503,34.3963639736,34.7997820377
dang@cogentee.coventry.ac.uk,1335275243.59,1335275269.63,26.0378880501,0.0014820098877,0.00476503372192,1.0462808609,25.7273640633,26.0378880501
dang@cogentee.coventry.ac.uk,1335275269.63,1335275294.71,25.0766460896,0.00151515007019,0.00478315353394,0.947758197784,24.6899302006,25.0766460896
dang@cogentee.coventry.ac.uk,1335275299.38,1335275329.11,29.7321021557,0.00138902664185,0.00466799736023,1.18784117699,29.436686039,29.7321021557
dang@cogentee.coventry.ac.uk,1335275329.12,1335275365.06,35.9403488636,0.00147581100464,0.00475192070007,1.72823596001,34.8926539421,35.9403488636
dang@cogentee.coventry.ac.uk,1335275365.06,1335275389.63,24.569414854,0.00151205062866,0.0047779083252,0.953691005707,24.1933269501,24.569414854
dang@cogentee.coventry.ac.uk,1335275389.63,1335275414.74,25.1105010509,0.00154113769531,0.00483894348145,0.951153993607,24.7957861423,25.1105010509
dang@cogentee.coventry.ac.uk,1335275417.91,1335275445.42,27.5168931484,0.000957012176514,0.00332713127136,1.51385807991,27.133603096,27.5168931484
dang@cogentee.coventry.ac.uk,1335275445.42,1335275531.0,85.5721271038,0.00160098075867,0.00431513786316,1.68800497055,85.2593169212,85.5721271038
dang@cogentee.coventry.ac.uk,1335275531.0,1335275554.67,23.6746590137,0.00152397155762,0.00479602813721,1.04419994354,23.2914831638,23.6746590137
dang@cogentee.coventry.ac.uk,1335275554.67,1335275589.95,35.2789111137,0.00150799751282,0.00478005409241,0.962352991104,34.248996973,35.2789111137
#URL,Start,End,Total,Fetch URL,Make Qry,Add Readings,Commit,Sync State
dang@cogentee.coventry.ac.uk,1335275891.52,1335276192.49,300.978179932,0.00140690803528,0.00528502464294,1.62977385521,297.50635004,300.978179932
dang@cogentee.coventry.ac.uk,1335276192.5,1335276526.59,334.09657383,0.0015549659729,0.00480699539185,3.00534200668,331.049288034,334.09657383
dang@cogentee.coventry.ac.uk,1335276526.59,1335276875.01,348.414890051,0.0014910697937,0.0047390460968,1.56231498718,345.517417908,348.414890051
dang@cogentee.coventry.ac.uk,1335276875.01,1335277204.66,329.656966925,0.00152587890625,0.00478291511536,1.57106208801,327.544651985,329.656966925
dang@cogentee.coventry.ac.uk,1335277208.23,1335277659.71,451.484519958,0.0012538433075,0.00447797775269,2.28141999245,445.954995871,451.484519958
dang@cogentee.coventry.ac.uk,1335277659.71,1335277983.11,323.400139093,0.00117611885071,0.00344920158386,10.4569721222,311.649823189,323.400139093
dang@cogentee.coventry.ac.uk,1335277983.11,1335278307.53,324.411359072,0.0014910697937,0.0047299861908,2.6885831356,320.15268898,324.411359072
dang@cogentee.coventry.ac.uk,1335278307.53,1335278635.1,327.575022221,0.00156021118164,0.00480699539185,3.69213604927,325.576072216,327.575022221
