"address","dbStart","dbEnd","dataStart","dataEnd","totalNodes","coNodes","yield","yieldSD","yieldMin","yieldMax","yieldDays","RLE"
"1","5 Elm Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","158 Trevelyan Crescent","2011-12-19 00:00:00","2012-01-09 00:00:00","2011-12-19","2012-01-08",6,3,0.345568783068783,0.0608641934783171,0.243055555555556,0.399305555555556,0.431960978835979,0
"3","1 Avon Road","2012-01-13 12:30:00","2012-02-02 00:00:00","2012-01-13","2012-02-02",4,1,21.4985690746683,6.46564622108685,0.112739571589628,23.8444193912063,22.0708689458689,4
"4","10 Southam Gardens","2012-01-13 00:00:00","2012-02-02 00:00:00","2012-01-13","2012-01-13",NA,NA,NA,NA,NA,NA,NA,NA
"5","73 St Peters Road","2012-01-13 00:00:00","2012-02-02 00:00:00","2012-01-13","2012-01-13",NA,NA,NA,NA,NA,NA,NA,NA
"6","28 Hastings Road","2012-01-13 00:00:00","2012-02-02 00:00:00","2012-01-13","2012-01-17",6,2,5.63363902179692,0.00833045149558781,5.62865497076023,5.6469298245614,107.039141414141,0
"7","2 Berryfields","2012-02-09 00:00:00","2012-02-23 00:00:00","2012-02-09","2012-02-23",5,1,99.9632745726496,0.0363287139656382,99.8931623931624,100,108.293547453704,13
"8","Mrs Brown  Southam","2012-02-09 00:00:00","2012-02-23 00:00:00","2012-02-09","2012-02-09",NA,NA,NA,NA,NA,NA,NA,NA
"9","14 George Street, Stockton","2012-02-09 00:00:00","2012-02-23 00:00:00","2012-02-09","2012-02-09",NA,NA,NA,NA,NA,NA,NA,NA
"10","7 New Park","2012-03-08 00:00:00","2012-04-04 22:00:00","2012-03-08","2012-03-28",7,2,2.58051685586515,0.0486371953363421,2.47678018575851,2.6186790505676,3.85882844650206,0
"11","20 New Park","2012-03-08 00:00:00","2012-04-04 22:00:00","2012-03-21","2012-04-04",5,1,0.0365497076023392,0.00494688460298872,0.0257997936016512,0.0386996904024768,0.070271164021164,0
"12","26 New Park","2012-03-08 00:00:00","2012-05-14 22:00:00","2012-03-08","2012-05-14",6,1,79.9624514132609,0.0636823971151075,79.7218762972188,80.0176421751764,99.0892723531612,51
"13","25 New Park","2012-03-08 00:00:00","2012-05-14 22:00:00","2012-03-21","2012-05-14",6,1,76.1266934601306,6.27886069356079,66.1114570361146,79.9605645496056,94.3360105686495,51
"14","27 New Park","2012-03-08 00:00:00","2012-04-13 22:00:00","2012-03-08","2012-04-13",6,1,60.8205020037967,1.00163166716016,58.6330239752514,61.5429234338747,94.9769433465086,18
"15","Brays lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","131Jodrell","2011-12-12 00:00:00","2012-02-17 00:00:00","2011-12-12","2012-02-17",6,1,94.9774184149184,5.78847061966452,86.674031986532,99.9947390572391,96.4386094674556,65
"17","155Jodrell","2011-10-12 00:00:00","2011-11-15 00:00:00","2011-10-12","2011-11-15",5,0,99.9894781144781,0.0110910411762355,99.9684343434343,100,103.114149305556,33
"18","227FoleshillA","2011-07-21 00:00:00","2011-09-08 00:00:00","2011-07-21","2011-09-08",9,2,98.5232204861111,0.104729756280451,98.3289930555556,98.6617476851852,100.619459219858,45
"19","30Newdigate","2011-08-10 00:00:00","2011-08-25 00:00:00","2011-08-10","2011-08-25",5,0,94.3005952380952,0.547360786620509,93.5267857142857,95.2876984126984,101.554487179487,10
"20","Rooftop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
