DATE(time)	nodeId	type	count(*)
2011-07-08	5092	0	80
2011-07-08	5092	2	80
2011-07-08	5092	4	80
2011-07-08	5092	5	80
2011-07-08	5092	6	80
2011-07-08	5092	11	80
2011-07-08	5092	13	80
2011-07-08	5124	0	81
2011-07-08	5124	2	81
2011-07-08	5124	4	81
2011-07-08	5124	5	81
2011-07-08	5124	6	81
2011-07-08	5124	11	81
2011-07-08	5124	13	81
2011-07-08	5156	0	83
2011-07-08	5156	2	83
2011-07-08	5156	4	83
2011-07-08	5156	5	83
2011-07-08	5156	6	83
2011-07-08	5156	11	2
2011-07-08	5156	13	83
2011-07-08	5188	0	84
2011-07-08	5188	2	84
2011-07-08	5188	4	84
2011-07-08	5188	5	84
2011-07-08	5188	6	84
2011-07-08	5188	11	84
2011-07-08	5188	13	84
2011-07-08	5220	0	85
2011-07-08	5220	2	85
2011-07-08	5220	4	85
2011-07-08	5220	5	85
2011-07-08	5220	6	85
2011-07-08	5220	11	1
2011-07-08	5220	13	85
2011-07-08	5252	0	86
2011-07-08	5252	2	86
2011-07-08	5252	4	86
2011-07-08	5252	5	86
2011-07-08	5252	6	86
2011-07-08	5252	11	86
2011-07-08	5252	13	86
2011-07-08	5284	0	87
2011-07-08	5284	2	87
2011-07-08	5284	4	87
2011-07-08	5284	5	87
2011-07-08	5284	6	87
2011-07-08	5284	11	87
2011-07-08	5284	13	87
2011-07-08	5316	0	88
2011-07-08	5316	2	88
2011-07-08	5316	4	88
2011-07-08	5316	5	88
2011-07-08	5316	6	88
2011-07-08	5316	11	88
2011-07-08	5316	13	88
2011-07-08	5348	0	92
2011-07-08	5348	2	91
2011-07-08	5348	4	91
2011-07-08	5348	5	91
2011-07-08	5348	6	91
2011-07-08	5348	11	91
2011-07-08	5348	13	92
2011-07-08	5540	0	1
2011-07-08	5540	2	1
2011-07-08	5540	4	1
2011-07-08	5540	5	1
2011-07-08	5540	6	1
2011-07-08	5540	11	1
2011-07-08	5540	13	1
2011-07-09	5092	0	288
2011-07-09	5092	2	288
2011-07-09	5092	4	288
2011-07-09	5092	5	288
2011-07-09	5092	6	288
2011-07-09	5092	11	288
2011-07-09	5092	13	288
2011-07-09	5124	0	288
2011-07-09	5124	2	288
2011-07-09	5124	4	288
2011-07-09	5124	5	288
2011-07-09	5124	6	288
2011-07-09	5124	11	288
2011-07-09	5124	13	288
2011-07-09	5156	0	288
2011-07-09	5156	2	288
2011-07-09	5156	4	288
2011-07-09	5156	5	288
2011-07-09	5156	6	288
2011-07-09	5156	11	92
2011-07-09	5156	13	288
2011-07-09	5188	0	288
2011-07-09	5188	2	288
2011-07-09	5188	4	288
2011-07-09	5188	5	288
2011-07-09	5188	6	288
2011-07-09	5188	11	288
2011-07-09	5188	13	288
2011-07-09	5220	0	288
2011-07-09	5220	2	288
2011-07-09	5220	4	288
2011-07-09	5220	5	288
2011-07-09	5220	6	288
2011-07-09	5220	13	288
2011-07-09	5252	0	288
2011-07-09	5252	2	288
2011-07-09	5252	4	288
2011-07-09	5252	5	288
2011-07-09	5252	6	288
2011-07-09	5252	11	288
2011-07-09	5252	13	288
2011-07-09	5284	0	288
2011-07-09	5284	2	288
2011-07-09	5284	4	288
2011-07-09	5284	5	288
2011-07-09	5284	6	288
2011-07-09	5284	11	288
2011-07-09	5284	13	288
2011-07-09	5316	0	288
2011-07-09	5316	2	288
2011-07-09	5316	4	288
2011-07-09	5316	5	288
2011-07-09	5316	6	288
2011-07-09	5316	11	288
2011-07-09	5316	13	288
2011-07-09	5348	0	288
2011-07-09	5348	2	288
2011-07-09	5348	4	288
2011-07-09	5348	5	288
2011-07-09	5348	6	288
2011-07-09	5348	11	288
2011-07-09	5348	13	288
2011-07-10	5092	0	288
2011-07-10	5092	2	288
2011-07-10	5092	4	288
2011-07-10	5092	5	288
2011-07-10	5092	6	288
2011-07-10	5092	11	288
2011-07-10	5092	13	288
2011-07-10	5124	0	288
2011-07-10	5124	2	288
2011-07-10	5124	4	288
2011-07-10	5124	5	288
2011-07-10	5124	6	288
2011-07-10	5124	11	288
2011-07-10	5124	13	288
2011-07-10	5156	0	288
2011-07-10	5156	2	288
2011-07-10	5156	4	288
2011-07-10	5156	5	288
2011-07-10	5156	6	288
2011-07-10	5156	11	61
2011-07-10	5156	13	288
2011-07-10	5188	0	288
2011-07-10	5188	2	288
2011-07-10	5188	4	288
2011-07-10	5188	5	288
2011-07-10	5188	6	288
2011-07-10	5188	11	288
2011-07-10	5188	13	288
2011-07-10	5220	0	288
2011-07-10	5220	2	288
2011-07-10	5220	4	288
2011-07-10	5220	5	288
2011-07-10	5220	6	288
2011-07-10	5220	13	288
2011-07-10	5252	0	287
2011-07-10	5252	2	287
2011-07-10	5252	4	287
2011-07-10	5252	5	287
2011-07-10	5252	6	287
2011-07-10	5252	11	287
2011-07-10	5252	13	287
2011-07-10	5284	0	287
2011-07-10	5284	2	287
2011-07-10	5284	4	287
2011-07-10	5284	5	287
2011-07-10	5284	6	287
2011-07-10	5284	11	287
2011-07-10	5284	13	287
2011-07-10	5316	0	288
2011-07-10	5316	2	288
2011-07-10	5316	4	288
2011-07-10	5316	5	288
2011-07-10	5316	6	288
2011-07-10	5316	11	288
2011-07-10	5316	13	288
2011-07-10	5348	0	288
2011-07-10	5348	2	288
2011-07-10	5348	4	288
2011-07-10	5348	5	288
2011-07-10	5348	6	288
2011-07-10	5348	11	288
2011-07-10	5348	13	288
2011-07-11	4932	0	122
2011-07-11	4932	2	122
2011-07-11	4932	4	122
2011-07-11	4932	5	122
2011-07-11	4932	6	122
2011-07-11	4932	11	120
2011-07-11	4932	13	122
2011-07-11	4964	0	122
2011-07-11	4964	2	122
2011-07-11	4964	4	122
2011-07-11	4964	5	122
2011-07-11	4964	6	122
2011-07-11	4964	11	122
2011-07-11	4964	13	122
2011-07-11	4996	0	156
2011-07-11	4996	2	156
2011-07-11	4996	4	156
2011-07-11	4996	5	156
2011-07-11	4996	6	156
2011-07-11	4996	11	156
2011-07-11	4996	13	156
2011-07-11	5028	0	156
2011-07-11	5028	2	156
2011-07-11	5028	4	156
2011-07-11	5028	5	156
2011-07-11	5028	6	156
2011-07-11	5028	11	156
2011-07-11	5028	13	156
2011-07-11	5060	0	155
2011-07-11	5060	2	155
2011-07-11	5060	4	155
2011-07-11	5060	5	155
2011-07-11	5060	6	155
2011-07-11	5060	11	155
2011-07-11	5060	13	155
2011-07-11	5092	0	284
2011-07-11	5092	2	284
2011-07-11	5092	4	284
2011-07-11	5092	5	284
2011-07-11	5092	6	284
2011-07-11	5092	11	284
2011-07-11	5092	13	284
2011-07-11	5124	0	284
2011-07-11	5124	2	284
2011-07-11	5124	4	284
2011-07-11	5124	5	284
2011-07-11	5124	6	284
2011-07-11	5124	11	284
2011-07-11	5124	13	284
2011-07-11	5156	0	278
2011-07-11	5156	2	278
2011-07-11	5156	4	278
2011-07-11	5156	5	278
2011-07-11	5156	6	278
2011-07-11	5156	11	75
2011-07-11	5156	13	278
2011-07-11	5188	0	283
2011-07-11	5188	2	283
2011-07-11	5188	4	283
2011-07-11	5188	5	283
2011-07-11	5188	6	283
2011-07-11	5188	11	283
2011-07-11	5188	13	283
2011-07-11	5220	0	277
2011-07-11	5220	2	277
2011-07-11	5220	4	277
2011-07-11	5220	5	277
2011-07-11	5220	6	277
2011-07-11	5220	11	124
2011-07-11	5220	13	277
2011-07-11	5252	0	284
2011-07-11	5252	2	284
2011-07-11	5252	4	284
2011-07-11	5252	5	284
2011-07-11	5252	6	284
2011-07-11	5252	11	284
2011-07-11	5252	13	284
2011-07-11	5284	0	284
2011-07-11	5284	2	284
2011-07-11	5284	4	284
2011-07-11	5284	5	284
2011-07-11	5284	6	284
2011-07-11	5284	11	284
2011-07-11	5284	13	284
2011-07-11	5316	0	284
2011-07-11	5316	2	284
2011-07-11	5316	4	284
2011-07-11	5316	5	284
2011-07-11	5316	6	284
2011-07-11	5316	11	284
2011-07-11	5316	13	284
2011-07-11	5348	0	284
2011-07-11	5348	2	284
2011-07-11	5348	4	284
2011-07-11	5348	5	284
2011-07-11	5348	6	284
2011-07-11	5348	11	284
2011-07-11	5348	13	284
2011-07-11	5476	0	131
2011-07-11	5476	2	129
2011-07-11	5476	4	129
2011-07-11	5476	5	129
2011-07-11	5476	6	129
2011-07-11	5476	11	129
2011-07-11	5476	13	131
2011-07-11	5508	0	131
2011-07-11	5508	2	129
2011-07-11	5508	4	129
2011-07-11	5508	5	129
2011-07-11	5508	6	129
2011-07-11	5508	11	129
2011-07-11	5508	13	131
2011-07-11	5540	0	131
2011-07-11	5540	2	130
2011-07-11	5540	4	130
2011-07-11	5540	5	130
2011-07-11	5540	6	130
2011-07-11	5540	11	130
2011-07-11	5540	13	131
2011-07-11	5572	0	130
2011-07-11	5572	2	129
2011-07-11	5572	4	129
2011-07-11	5572	5	129
2011-07-11	5572	6	129
2011-07-11	5572	11	129
2011-07-11	5572	13	130
2011-07-11	5604	0	130
2011-07-11	5604	2	129
2011-07-11	5604	4	129
2011-07-11	5604	5	129
2011-07-11	5604	6	129
2011-07-11	5604	11	129
2011-07-11	5604	13	130
2011-07-11	5636	0	130
2011-07-11	5636	2	129
2011-07-11	5636	4	129
2011-07-11	5636	5	129
2011-07-11	5636	6	129
2011-07-11	5636	11	129
2011-07-11	5636	13	130
2011-07-12	4932	0	288
2011-07-12	4932	2	288
2011-07-12	4932	4	288
2011-07-12	4932	5	288
2011-07-12	4932	6	288
2011-07-12	4932	11	279
2011-07-12	4932	13	288
2011-07-12	4964	0	288
2011-07-12	4964	2	288
2011-07-12	4964	4	288
2011-07-12	4964	5	288
2011-07-12	4964	6	288
2011-07-12	4964	11	288
2011-07-12	4964	13	288
2011-07-12	4996	0	288
2011-07-12	4996	2	288
2011-07-12	4996	4	288
2011-07-12	4996	5	288
2011-07-12	4996	6	288
2011-07-12	4996	11	288
2011-07-12	4996	13	288
2011-07-12	5028	0	288
2011-07-12	5028	2	288
2011-07-12	5028	4	288
2011-07-12	5028	5	288
2011-07-12	5028	6	288
2011-07-12	5028	11	288
2011-07-12	5028	13	288
2011-07-12	5060	0	288
2011-07-12	5060	2	288
2011-07-12	5060	4	288
2011-07-12	5060	5	288
2011-07-12	5060	6	288
2011-07-12	5060	11	288
2011-07-12	5060	13	288
2011-07-12	5092	0	288
2011-07-12	5092	2	288
2011-07-12	5092	4	288
2011-07-12	5092	5	288
2011-07-12	5092	6	288
2011-07-12	5092	11	288
2011-07-12	5092	13	288
2011-07-12	5124	0	288
2011-07-12	5124	2	288
2011-07-12	5124	4	288
2011-07-12	5124	5	288
2011-07-12	5124	6	288
2011-07-12	5124	11	288
2011-07-12	5124	13	288
2011-07-12	5156	0	288
2011-07-12	5156	2	288
2011-07-12	5156	4	288
2011-07-12	5156	5	288
2011-07-12	5156	6	288
2011-07-12	5156	11	116
2011-07-12	5156	13	288
2011-07-12	5188	0	288
2011-07-12	5188	2	288
2011-07-12	5188	4	288
2011-07-12	5188	5	288
2011-07-12	5188	6	288
2011-07-12	5188	11	288
2011-07-12	5188	13	288
2011-07-12	5220	0	288
2011-07-12	5220	2	288
2011-07-12	5220	4	288
2011-07-12	5220	5	288
2011-07-12	5220	6	288
2011-07-12	5220	11	288
2011-07-12	5220	13	288
2011-07-12	5252	0	288
2011-07-12	5252	2	288
2011-07-12	5252	4	288
2011-07-12	5252	5	288
2011-07-12	5252	6	288
2011-07-12	5252	11	288
2011-07-12	5252	13	288
2011-07-12	5284	0	288
2011-07-12	5284	2	288
2011-07-12	5284	4	288
2011-07-12	5284	5	288
2011-07-12	5284	6	288
2011-07-12	5284	11	288
2011-07-12	5284	13	288
2011-07-12	5316	0	288
2011-07-12	5316	2	288
2011-07-12	5316	4	288
2011-07-12	5316	5	288
2011-07-12	5316	6	288
2011-07-12	5316	11	288
2011-07-12	5316	13	288
2011-07-12	5348	0	288
2011-07-12	5348	2	288
2011-07-12	5348	4	288
2011-07-12	5348	5	288
2011-07-12	5348	6	288
2011-07-12	5348	11	288
2011-07-12	5348	13	288
2011-07-12	5380	0	1
2011-07-12	5380	2	1
2011-07-12	5380	4	1
2011-07-12	5380	5	1
2011-07-12	5380	6	1
2011-07-12	5380	13	1
2011-07-12	5412	0	1
2011-07-12	5412	2	1
2011-07-12	5412	4	1
2011-07-12	5412	5	1
2011-07-12	5412	6	1
2011-07-12	5412	11	1
2011-07-12	5412	13	1
2011-07-12	5476	0	288
2011-07-12	5476	2	288
2011-07-12	5476	4	288
2011-07-12	5476	5	288
2011-07-12	5476	6	288
2011-07-12	5476	11	288
2011-07-12	5476	13	288
2011-07-12	5508	0	288
2011-07-12	5508	2	288
2011-07-12	5508	4	288
2011-07-12	5508	5	288
2011-07-12	5508	6	288
2011-07-12	5508	11	288
2011-07-12	5508	13	288
2011-07-12	5540	0	288
2011-07-12	5540	2	288
2011-07-12	5540	4	288
2011-07-12	5540	5	288
2011-07-12	5540	6	288
2011-07-12	5540	11	288
2011-07-12	5540	13	288
2011-07-12	5572	0	288
2011-07-12	5572	2	288
2011-07-12	5572	4	288
2011-07-12	5572	5	288
2011-07-12	5572	6	288
2011-07-12	5572	11	288
2011-07-12	5572	13	288
2011-07-12	5604	0	288
2011-07-12	5604	2	288
2011-07-12	5604	4	288
2011-07-12	5604	5	288
2011-07-12	5604	6	288
2011-07-12	5604	11	288
2011-07-12	5604	13	288
2011-07-12	5636	0	288
2011-07-12	5636	2	288
2011-07-12	5636	4	288
2011-07-12	5636	5	288
2011-07-12	5636	6	288
2011-07-12	5636	11	288
2011-07-12	5636	13	288
2011-07-13	4932	0	288
2011-07-13	4932	2	288
2011-07-13	4932	4	288
2011-07-13	4932	5	288
2011-07-13	4932	6	288
2011-07-13	4932	11	271
2011-07-13	4932	13	288
2011-07-13	4964	0	288
2011-07-13	4964	2	288
2011-07-13	4964	4	288
2011-07-13	4964	5	288
2011-07-13	4964	6	288
2011-07-13	4964	11	288
2011-07-13	4964	13	288
2011-07-13	4996	0	288
2011-07-13	4996	2	288
2011-07-13	4996	4	288
2011-07-13	4996	5	288
2011-07-13	4996	6	288
2011-07-13	4996	11	288
2011-07-13	4996	13	288
2011-07-13	5028	0	288
2011-07-13	5028	2	288
2011-07-13	5028	4	288
2011-07-13	5028	5	288
2011-07-13	5028	6	288
2011-07-13	5028	11	288
2011-07-13	5028	13	288
2011-07-13	5060	0	288
2011-07-13	5060	2	288
2011-07-13	5060	4	288
2011-07-13	5060	5	288
2011-07-13	5060	6	288
2011-07-13	5060	11	288
2011-07-13	5060	13	288
2011-07-13	5092	0	288
2011-07-13	5092	2	288
2011-07-13	5092	4	288
2011-07-13	5092	5	288
2011-07-13	5092	6	288
2011-07-13	5092	11	288
2011-07-13	5092	13	288
2011-07-13	5124	0	288
2011-07-13	5124	2	288
2011-07-13	5124	4	288
2011-07-13	5124	5	288
2011-07-13	5124	6	288
2011-07-13	5124	11	288
2011-07-13	5124	13	288
2011-07-13	5156	0	288
2011-07-13	5156	2	288
2011-07-13	5156	4	288
2011-07-13	5156	5	288
2011-07-13	5156	6	288
2011-07-13	5156	11	4
2011-07-13	5156	13	288
2011-07-13	5188	0	288
2011-07-13	5188	2	288
2011-07-13	5188	4	288
2011-07-13	5188	5	288
2011-07-13	5188	6	288
2011-07-13	5188	11	288
2011-07-13	5188	13	288
2011-07-13	5220	0	288
2011-07-13	5220	2	288
2011-07-13	5220	4	288
2011-07-13	5220	5	288
2011-07-13	5220	6	288
2011-07-13	5220	11	288
2011-07-13	5220	13	288
2011-07-13	5252	0	288
2011-07-13	5252	2	288
2011-07-13	5252	4	288
2011-07-13	5252	5	288
2011-07-13	5252	6	288
2011-07-13	5252	11	288
2011-07-13	5252	13	288
2011-07-13	5284	0	288
2011-07-13	5284	2	288
2011-07-13	5284	4	288
2011-07-13	5284	5	288
2011-07-13	5284	6	288
2011-07-13	5284	11	288
2011-07-13	5284	13	288
2011-07-13	5316	0	288
2011-07-13	5316	2	288
2011-07-13	5316	4	288
2011-07-13	5316	5	288
2011-07-13	5316	6	288
2011-07-13	5316	11	288
2011-07-13	5316	13	288
2011-07-13	5348	0	288
2011-07-13	5348	2	288
2011-07-13	5348	4	288
2011-07-13	5348	5	288
2011-07-13	5348	6	288
2011-07-13	5348	11	288
